name	glycemic_index
100% Bran	42.0
Air filled fritter or fried puff, without syrup, Puerto Rican style (Bunuelos de viento)	59.0
Alfalfa sprouts, raw	32.0
Alfredo sauce	27.0
Algae, dried	32.0
All-Bran	42.0
All-Bran Bran Buds, Kellogg's (formerly Bran Buds)	58.0
All-Bran with Extra Fiber	42.0
Anchovy, canned	0.0
Anchovy, cooked, NS as to cooking method	0.0
Apple chips	29.0
Apple cider	40.0
Apple cider-flavored drink, made from powdered mix, low calorie, with vitamin C added	50.0
Apple Cinnamon Cheerios	74.0
Apple Cinnamon Oh's Cereal	74.0
Apple Cinnamon Rice Krispies	82.0
Apple Cinnamon Squares Mini-Wheats, Kellogg's (formerly Apple Cinnamon Squares)	58.0
Apple juice	40.0
Apple juice, with added vitamin C	40.0
Apple-cherry juice	43.0
Apple-grape juice	40.0
Apple-grape-raspberry juice	40.0
Apple-pear juice	40.0
Apple-raspberry juice	40.0
Apple-white grape juice drink, low calorie, with vitamin C added	50.0
Apple, baked, NS as to added sweetener	38.0
Apple, baked, unsweetened	38.0
Apple, baked, with sugar	38.0
Apple, candied	34.2
Apple, cooked or canned, with syrup	38.0
Apple, dried, cooked, NS as to sweetened or unsweetened; sweetened, NS as to type of sweetener	29.0
Apple, dried, cooked, with sugar	29.0
Apple, dried, uncooked	29.0
Apple, fried	38.0
Apple, pickled	38.0
Apple, raw	38.0
Applesauce, stewed apples, NS as to sweetened or unsweetened; sweetened, NS as to type of sweetener	38.0
Applesauce, stewed apples, sweetened with low calorie sweetener	38.0
Applesauce, stewed apples, unsweetened	38.0
Applesauce, stewed apples, with sugar	38.0
Apricot-orange juice	50.0
Apricot, cooked or canned, drained solids	64.0
Apricot, cooked or canned, in heavy syrup	64.0
Apricot, cooked or canned, in light syrup	64.0
Apricot, cooked or canned, NS as to sweetened or unsweetened; sweetened, NS as to type of sweetener	64.0
Apricot, cooked or canned, unsweetened, water pack	64.0
Apricot, dried, cooked, NS as to sweetened or unsweetened; sweetened, NS as to type of sweetener	31.0
Apricot, dried, cooked, unsweetened	31.0
Apricot, dried, cooked, with sugar	31.0
Apricot, dried, uncooked	31.0
Apricot, raw	57.0
Artichoke salad in oil	32.0
Artichoke, globe (French), cooked, from canned, NS as to fat added in cooking	32.0
Artichoke, globe (French), cooked, from fresh, fat added in cooking	32.0
Artichoke, globe (French), cooked, from fresh, fat not added in cooking	32.0
Artichoke, globe (French), cooked, from fresh, NS as to fat added in cooking	32.0
Artichoke, globe (French), cooked, from frozen, NS as to fat added in cooking	32.0
Artichoke, globe (French), cooked, NS as to form, fat not added in cooking	32.0
Artichoke, globe (French), cooked, NS as to form, NS as to fat added in cooking	32.0
Artichoke, Jerusalem, raw	32.0
Asparagus soup, cream of, NS as to made with milk or water	27.0
Asparagus soup, cream of, prepared with milk	27.0
Asparagus, cooked, from canned, fat added in cooking	32.0
Asparagus, cooked, from canned, fat not added in cooking	32.0
Asparagus, cooked, from canned, NS as to fat added in cooking	32.0
Asparagus, cooked, from fresh, fat added in cooking	32.0
Asparagus, cooked, from fresh, fat not added in cooking	32.0
Asparagus, cooked, from fresh, NS as to fat added in cooking	32.0
Asparagus, cooked, from frozen, fat added in cooking	32.0
Asparagus, cooked, from frozen, fat not added in cooking	32.0
Asparagus, cooked, NS as to form, fat added in cooking	32.0
Asparagus, cooked, NS as to form, fat not added in cooking	32.0
Asparagus, cooked, NS as to form, NS as to fat added in cooking	32.0
Asparagus, from canned, creamed or with cheese sauce	28.3
Asparagus, from fresh, creamed or with cheese sauce	29.2
Asparagus, raw	32.0
Avocado, raw	50.0
Bacon dressing (hot)	50.0
Bacon grease or meat drippings	0.0
Bacon or side pork, fresh, cooked	50.0
Bacon, NS as to type of meat, cooked	50.0
Bagel	72.0
Bagel chip	72.0
Bagel, multigrain	43.0
Bagel, multigrain, toasted	43.0
Bagel, multigrain, with raisins	43.0
Bagel, multigrain, with raisins, toasted	43.0
Bagel, oat bran	47.0
Bagel, oat bran, toasted	47.0
Bagel, pumpernickel	50.0
Bagel, pumpernickel, toasted	50.0
Bagel, toasted	72.0
Bagel, wheat	71.0
Bagel, wheat, toasted	71.0
Bagel, wheat, with fruit and nuts	71.0
Bagel, wheat, with fruit and nuts, toasted	71.0
Bagel, wheat, with raisins	71.0
Bagel, wheat, with raisins, toasted	71.0
Bagel, whole wheat, 100%	71.0
Bagel, whole wheat, 100%, toasted	71.0
Bagel, whole wheat, 100%, with raisins	71.0
Bagel, whole wheat, 100%, with raisins, toasted	71.0
Bagel, whole wheat, other than 100% or NS as to 100%	71.0
Bagel, whole wheat, other than 100% or NS as to 100%, toasted	71.0
Bagel, with fruit other than raisins	72.0
Bagel, with fruit other than raisins, toasted	72.0
Bagel, with raisins	72.0
Bagel, with raisins, toasted	72.0
Baked beans, low sodium	48.0
Baked beans, NFS	48.0
Baked beans, with pork and sweet sauce	48.0
Baked beans, with tomato sauce	48.0
Baklava	59.0
Bamboo shoots, cooked, fat added in cooking	32.0
Bamboo shoots, cooked, fat not added in cooking	32.0
Banana, raw	52.0
Banana, red, ripe (guineo morado)	52.0
Banana, ripe, boiled	52.0
Banana, ripe, fried	52.0
Barley soup	25.0
Barley, cooked, fat not added in cooking	25.0
Barley, cooked, NS as to fat added in cooking	25.0
Bean and ham soup, chunky style	64.0
Bean and ham soup, home recipe	64.0
Bean and rice soup	42.2
Bean salad, yellow and/or green string beans	32.0
Bean soup with vegetables and rice, canned, reduced sodium, prepared with water or ready-to-serve	55.3
Bean soup, home recipe	64.0
Bean soup, mixed beans	64.0
Bean soup, NFS	64.0
Bean soup, with macaroni	37.8
Bean soup, with macaroni and meat	38.3
Bean sprouts, cooked, from canned, fat added in cooking	32.0
Bean sprouts, cooked, from canned, fat not added in cooking	32.0
Bean sprouts, cooked, from fresh, fat added in cooking	32.0
Bean sprouts, cooked, from fresh, fat not added in cooking	32.0
Bean sprouts, cooked, from fresh, NS as to fat added in cooking	32.0
Bean sprouts, cooked, NS as to form, fat added in cooking	32.0
Bean sprouts, cooked, NS as to form, NS as to fat added in cooking	32.0
Bean sprouts, raw (soybean or mung)	32.0
Bean with bacon or pork soup	64.0
Beans, dry, cooked with ground beef	48.0
Beans, dry, cooked with pork	48.0
Beans, dry, cooked, NS as to type and as to fat added in cooking	29.0
Beans, dry, cooked, NS as to type, fat added in cooking	29.0
Beans, dry, cooked, NS as to type, fat not added in cooking	29.0
Beans, green string, with onions, cooked, fat not added in cooking	32.0
Beans, green string, with onions, fat added in cooking	32.0
Beans, green string, with onions, NS as to fat added in cooking	32.0
Beans, green string, with tomatoes, cooked, fat not added in cooking	35.0
Beans, green, and potatoes, cooked, fat added in cooking	62.7
Beans, green, and potatoes, cooked, fat not added in cooking	63.3
Beans, green, with pinto beans, cooked, fat not added in cooking	38.0
Beans, lima and corn (succotash), cooked, NS as to fat added in cooking	43.0
Beans, lima, immature, canned, low sodium, NS as to fat added in cooking	32.0
Beans, lima, immature, cooked, from canned, fat added in cooking	32.0
Beans, lima, immature, cooked, from canned, fat not added in cooking	32.0
Beans, lima, immature, cooked, from canned, NS as to fat added in cooking	32.0
Beans, lima, immature, cooked, from canned, with mushroom sauce	30.8
Beans, lima, immature, cooked, from fresh, fat added in cooking	32.0
Beans, lima, immature, cooked, from fresh, fat not added in cooking	32.0
Beans, lima, immature, cooked, from frozen, fat added in cooking	32.0
Beans, lima, immature, cooked, from frozen, fat not added in cooking	32.0
Beans, lima, immature, cooked, from frozen, NS as to fat added in cooking	32.0
Beans, lima, immature, cooked, NS as to form, fat added in cooking	32.0
Beans, lima, immature, cooked, NS as to form, fat not added in cooking	32.0
Beans, lima, immature, cooked, NS as to form, NS as to fat added in cooking	32.0
Beans, lima, immature, from frozen, creamed or with cheese sauce	31.1
Beans, string, cooked, from canned, NS as to color, fat added in cooking	32.0
Beans, string, cooked, from canned, NS as to color, fat not added in cooking	32.0
Beans, string, cooked, from canned, NS as to color, NS as to fat added in cooking	32.0
Beans, string, cooked, from fresh, NS as to color, fat added in cooking	32.0
Beans, string, cooked, from fresh, NS as to color, fat not added in cooking	32.0
Beans, string, cooked, from fresh, NS as to color, NS as to fat added in cooking	32.0
Beans, string, cooked, from frozen, NS as to color, fat added in cooking	32.0
Beans, string, cooked, from frozen, NS as to color, fat not added in cooking	32.0
Beans, string, cooked, from frozen, NS as to color, NS as to fat added in cooking	32.0
Beans, string, cooked, NS as to form, NS as to color, fat added in cooking	32.0
Beans, string, cooked, NS as to form, NS as to color, fat not added in cooking	32.0
Beans, string, cooked, NS as to form, NS as to color, NS as to fat added in cooking	32.0
Beans, string, green, canned, low sodium, fat added in cooking	32.0
Beans, string, green, canned, low sodium, fat not added in cooking	32.0
Beans, string, green, canned, low sodium, NS as to fat added in cooking	32.0
Beans, string, green, cooked, from canned, fat added in cooking	32.0
Beans, string, green, cooked, from canned, fat not added in cooking	32.0
Beans, string, green, cooked, from canned, NS as to fat added in cooking	32.0
Beans, string, green, cooked, from canned, with mushroom sauce	28.8
Beans, string, green, cooked, from fresh, fat added in cooking	32.0
Beans, string, green, cooked, from fresh, fat not added in cooking	32.0
Beans, string, green, cooked, from fresh, NS as to fat added in cooking	32.0
Beans, string, green, cooked, from frozen, fat added in cooking	32.0
Beans, string, green, cooked, from frozen, fat not added in cooking	32.0
Beans, string, green, cooked, from frozen, NS as to fat added in cooking	32.0
Beans, string, green, cooked, from frozen, with mushroom sauce	28.8
Beans, string, green, cooked, NS as to form, fat added in cooking	32.0
Beans, string, green, cooked, NS as to form, fat not added in cooking	32.0
Beans, string, green, cooked, NS as to form, NS as to fat added in cooking	32.0
Beans, string, green, cooked, NS as to form, with mushroom sauce	28.8
Beans, string, green, from canned, creamed or with cheese sauce	29.5
Beans, string, green, NS as to form, creamed or with cheese sauce	29.5
Beans, string, green, raw	32.0
Beans, string, yellow, cooked, from canned, fat added in cooking	32.0
Beans, string, yellow, cooked, from canned, fat not added in cooking	32.0
Beans, string, yellow, cooked, from canned, NS as to fat added in cooking	32.0
Beans, string, yellow, cooked, from fresh, fat added in cooking	32.0
Beans, string, yellow, cooked, from fresh, fat not added in cooking	32.0
Beans, string, yellow, cooked, from frozen, fat not added in cooking	32.0
Beans, string, yellow, cooked, NS as to form, fat not added in cooking	32.0
Beef and noodles with tomato-based sauce (mixture)	39.5
Beef and rice noodle soup, Oriental style (Vietnamese Pho Bo)	53.0
Beef and vegetables (including carrots, broccoli, and/or dark-green leafy (no potatoes)), soy-based sauce (mixture)	48.7
Beef brisket, cooked, lean and fat eaten	0.0
Beef brisket, cooked, lean only eaten	0.0
Beef brisket, cooked, NS as to fat eaten	0.0
Beef broth, with tomato, home recipe	38.0
Beef liver, battered, fried	95.0
Beef liver, braised	50.0
Beef liver, breaded, fried	95.0
Beef liver, cooked, NS as to cooking method	50.0
Beef liver, fried or broiled, no coating	50.0
Beef noodle soup	42.0
Beef noodle soup, home recipe	42.0
Beef noodle soup, Puerto Rican style (Sopa de carne y fideos)	42.0
Beef pot pie	45.0
Beef rice soup	64.0
Beef sausage, brown and serve, links, cooked	28.0
Beef sausage, fresh, bulk, patty or link, cooked	28.0
Beef sausage, NFS	28.0
Beef sausage, smoked	28.0
Beef sausage, smoked, stick	28.0
Beef sloppy joe (no bun)	42.3
Beef steak, battered, fried, lean and fat eaten	50.0
Beef steak, battered, fried, lean only eaten	50.0
Beef steak, battered, fried, NS as to fat eaten	50.0
Beef steak, braised, lean and fat eaten	0.0
Beef steak, braised, lean only eaten	0.0
Beef steak, braised, NS as to fat eaten	0.0
Beef steak, breaded or floured, baked or fried, lean and fat eaten	50.0
Beef steak, breaded or floured, baked or fried, lean only eaten	50.0
Beef steak, breaded or floured, baked or fried, NS as to fat eaten	50.0
Beef steak, broiled or baked, lean and fat eaten	0.0
Beef steak, broiled or baked, lean only eaten	0.0
Beef steak, broiled or baked, NS as to fat eaten	0.0
Beef steak, fried, lean and fat eaten	0.0
Beef steak, fried, lean only eaten	0.0
Beef steak, fried, NS as to fat eaten	0.0
Beef steak, NS as to cooking method, lean and fat eaten	0.0
Beef steak, NS as to cooking method, lean only eaten	0.0
Beef steak, NS as to cooking method, NS as to fat eaten	0.0
Beef stew with potatoes and vegetables (including carrots, broccoli, and/or dark-green leafy), gravy	63.6
Beef stew with potatoes and vegetables (including carrots, broccoli, and/or dark-green leafy), tomato-based sauce	62.6
Beef stew with potatoes, tomato-based sauce (mixture)	69.7
Beef stroganoff soup, chunky style	42.0
Beef stroganoff with noodles	45.6
Beef vegetable soup with noodles, stew type, chunky style	40.0
Beef vegetable soup with potato, stew type	44.0
Beef vegetable soup with rice, stew type, chunky style	51.0
Beef vegetable soup, Mexican style (Sopa / caldo de Res)	38.0
Beef with barbecue sauce (mixture)	38.0
Beef with gravy (mixture)	70.6
Beef with tomato-based sauce (mixture)	36.7
Beef with vegetables (excluding carrots, broccoli, and dark-green leafy (no potatoes)), (mushroom) soup (mixture)	38.0
Beef with vegetables (including carrots, broccoli, and/or dark-green leafy (no potatoes)), (mushroom) soup (mixture)	38.0
Beef, bacon, cooked	50.0
Beef, bacon, formed, lean meat added, cooked	50.0
Beef, broth, bouillon, or consomme	50.0
Beef, dried, chipped, cooked in fat	0.0
Beef, dried, chipped, uncooked	50.0
Beef, noodles, and vegetables (excluding carrots, broccoli, and dark-green leafy), (mushroom) soup (mixture)	34.7
Beef, NS as to cut, cooked, lean only eaten	0.0
Beef, NS as to cut, cooked, NS as to fat eaten	0.0
Beef, NS as to cut, fried, NS to fat eaten	0.0
Beef, pastrami (beef, smoked, spiced)	50.0
Beef, pickled	50.0
Beef, pot roast, braised or boiled, lean and fat eaten	0.0
Beef, pot roast, braised or boiled, lean only eaten	0.0
Beef, pot roast, braised or boiled, NS as to fat eaten	0.0
Beef, rice, and vegetables (excluding carrots, broccoli, and dark-green leafy), (mushroom) soup (mixture)	49.1
Beef, rice, and vegetables (including carrots, broccoli, and/or dark-green leafy), (mushroom) soup (mixture)	47.4
Beef, roast, canned	0.0
Beef, roast, roasted, lean and fat eaten	0.0
Beef, roast, roasted, lean only eaten	0.0
Beef, roast, roasted, NS as to fat eaten	0.0
Beef, shortribs, barbecued, with sauce, lean and fat eaten	50.0
Beef, shortribs, barbecued, with sauce, lean only eaten	50.0
Beef, shortribs, barbecued, with sauce, NS as to fat eaten	50.0
Beef, shortribs, cooked, lean and fat eaten	0.0
Beef, shortribs, cooked, lean only eaten	0.0
Beef, shortribs, cooked, NS as to fat eaten	0.0
Beef, sliced, prepackaged or deli, luncheon meat	50.0
Beef, stew meat, cooked, lean and fat eaten	0.0
Beef, stew meat, cooked, lean only eaten	0.0
Beef, stew meat, cooked, NS as to fat eaten	0.0
Beer	36.0
Beer, lite	36.0
Beet greens, cooked, NS as to fat added in cooking	32.0
Beet greens, raw	32.0
Beets with Harvard sauce	66.2
Beets, cooked, from canned, fat added in cooking	64.0
Beets, cooked, from canned, fat not added in cooking	64.0
Beets, cooked, from canned, NS as to fat added in cooking	64.0
Beets, cooked, from fresh, fat not added in cooking	64.0
Beets, cooked, from fresh, NS as to fat added in cooking	64.0
Beets, cooked, NS as to form, fat added in cooking	64.0
Beets, cooked, NS as to form, fat not added in cooking	64.0
Beets, cooked, NS as to form, NS as to fat added in cooking	64.0
Beets, pickled	65.5
Beets, raw	64.0
Berries, raw, NFS	40.0
Berry Berry Kix	113.0
Biscuit dough, fried	66.0
Biscuit, baking powder or buttermilk type, commercially baked	92.0
Biscuit, baking powder or buttermilk type, made from home recipe	92.0
